[2023/10/25:16:16:55] 10.10.132.238 ajax.aspnetcdn.com:443 GET / 301 551 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:56] 10.10.132.238 www.asp.net:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:56] 10.10.116.67 signup.live.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:56] 10.10.132.238 www.asp.net:443 GET /ajax/cdn 301 777 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:56] 10.10.132.238 docs.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:56] 10.10.132.238 docs.microsoft.com:443 GET /en-us/aspnet/ajax/cdn/overview 301 741 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:56] 10.10.132.238 learn.microsoft.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:56] 10.10.132.238 learn.microsoft.com:443 GET /en-us/aspnet/ajax/cdn/overview 200 28326 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:56] 10.10.75.132 logincert.microsoftonline.com:443 CONNECT - 200 0 "-"
[2023/10/25:16:16:56] 10.10.116.67 signup.live.com:443 GET / 302 1876 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:56] 10.10.75.132 logincert.microsoftonline.com:443 GET / 403 938 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36"
[2023/10/25:16:16:56] 10.10.116.67 login.live.com:443 CONNECT - 200 0 "-"
